eisced,eduyrs,hincfel,hinctnta,uemp12m,gincdif,pdwrk,trstplt,trstprt,trstun,stfdem,imueclt,imwbcnt,imbgeco,feethngr,brncntr,ppltrst,nwspol,netusoft,rlgdgr,aesfdrk,health,happy,gndr,agea,domicil,lrscale,is_populist_voter,cntry_BE,cntry_BG,cntry_CH,cntry_CY,cntry_ES,cntry_FI,cntry_FR,cntry_GB,cntry_GR,cntry_HR,cntry_HU,cntry_IE,cntry_IL,cntry_IS,cntry_IT,cntry_LV,cntry_NL,cntry_NO,cntry_PL,cntry_PT,cntry_RS,cntry_SE,cntry_SI,cntry_SK
3,12,1,6,6,2,0,5,5,5,6,3,5,7,1,1,5,90,5,5,2,3,8,1,65,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,2,1,6,1,0,1,0,5,7,5,9,6,1.2299999999999998,1,10,90,5,0,3,2,9,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16,1,5,6,1,1,4,4,5,6,9,8,9,1,1,6,30,5,8,3,1,9,2,53,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,3.748333333333333,6,2,0,5,5,8,8,10,10,10,1,1,6,60,5,1,1,2,9,1,64,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16,1,9,6,2,1,5,5,6,3,6,6,5,1,2,8,120,5,3,2,1,8,2,59,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,2,3,2,2,0,4,5,6,6,3,2,3.903666666666666,1,1,7,45,1,6,3,2,7,2,77,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,17,1,10,6,2,0,7,6,7,8,8,7,6,1,1,8,120,5,6,2,2,8,2,69,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12,2,8,6,1,1,3,2,6,8,5,5,7,1,1,7,20,5,5,2,2,8,2,52,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,3,6,2,0,8,8,8,7,0,0,5,1,1,3,120,1,10,2,2,7,2,75,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17,2,4,2,2,1,6,6,8,6,6,6,6,1,1,5,60,5,6,2,2,8,2,44,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,16.386000000000003,2,8,6,2,1,8,7,7,8,6,3,5,1,1,8,60,2,0,2,3,5,2,30,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1,5,6,2,0,2,2,3,7,10,7,8,1,1,3,180,5,7,2,1,9,2,67,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,1,8,6,1,1,6,6,4,7,5,5,8,1,1,8,20,5,4,1,1,10,1,41,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,6,6,3,0,5,5,4,4,5,5,5,1,1,4,45,3,4,1,2,8,2,82,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1,6.034333333333333,1,2,0,1,1,5,8,7,7,7,1,1,2,5,5,0,1,1,8,1,26,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,1,2,6,5,0,8,8,7,8,4,4,6,1,1,5,90,2,9,1,2,8,2,85,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1,2,6,3,0,6,6,5,7,6,5,6,1,1,5,60,5,8,1,2,7,1,72,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,2,8,2,2,1,4,4,7,6,6,5,6,1,1,7,30,5,6,2,1,8,2,50,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,1,3,6,1,0,0,0,4,3,7,4,5,1,1,10,240,5,10,2,3,8,2,60,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16,2,8,6,2,1,4,2,6,8,5,5,6,1,1,8,30,5,5,2,2,8,2,43,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,8,6,1,1,0,2,5,2,0,0,5,1,1,5,30,5,5,2,2,8,2,41,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,2,6,1,1,1,2,0,3,5,7,5,2,1,4,30,5,5,1,3,8,2,49,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,2,6,1,0,8,7,3,9,4,5,5,1,1,6,10,1,5,1,1,9,2,81,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,2,3,6,2,1,4,4,6,4,5,4,5,1,1,8,30,5,8,2,2,7,2,57,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12,2,3,6,1,0,5,5,5,4,8,8,8,2,1,10,90,5,0,1,3,9,2,67,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,5,6,2,1,5,5,5,5,3,3,7,2,1,8,15,5,2,3,1,9,2,59,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,1,7,6,2,0,5,3,8,8,5,5,8,1,1,7,120,3,10,1,3,7,1,77,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,5,6,2,1,4,3,3,5,3,4,8,1,1,2,30,3,9,1,2,7,1,58,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,3,3,6,2,1,1,1,0,0,0,0,4,1,1,7,15,5,5,2,3,8,2,38,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,2,6,1,0,5,5,4,6,5,5,5,1,1,5,120,1,5,1,2,9,2,79,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,6,6,1,1,8,9,10,9,9,9,9,1,1,7,10,5,9,1,1,9,2,34,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15,2,5,6,1,1,3,4,7,5,7,5,6,1,2,7,20,4,5,1,1,8,2,36,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,3,9,1,2,0,5,6,6,9,6,6,6,2,1,7,60,4,4,2,3,7,1,65,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,5,2,2,1,4,4,4,4,5,5,5,1,1,5,30,2,5,2,2,5,2,42,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,7,6,2,1,6,5,7,10,8,8,8,1,1,7,45,5,6,1,2,9,1,60,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,2,5.373333333333334,6,1,1,1,1,1,1,3,1,2,1,1,6,30,5,5,1,1,8,1,28,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
